Category,target_url,target_url_domain,target_url_agency_owner,target_url_bureau_owner,scan_date
Not IPv6 compliant,www.acus.gov,acus.gov,Administrative Conference of the United States,Administrative Conference of the United States,2024-02-10T07:30:11.511Z
Not IPv6 compliant,acus.gov,acus.gov,Administrative Conference of the United States,Administrative Conference of the United States,2024-02-10T08:11:47.490Z
Not IPv6 compliant,amtrakoig.gov,amtrakoig.gov,AMTRAK,Office of Inspector General,2024-02-10T00:36:24.044Z
Not IPv6 compliant,workplace.arc.gov,arc.gov,Appalachian Regional Commission,Appalachian Regional Commission,2024-02-10T00:40:54.875Z
Not IPv6 compliant,refermyappraisalcomplaint.asc.gov,asc.gov,Appraisal Subcommittee,Appraisal Subcommittee,2024-02-10T00:50:55.133Z
Not IPv6 compliant,asc.gov,asc.gov,Appraisal Subcommittee,Appraisal Subcommittee,2024-02-10T00:43:26.829Z
Not IPv6 compliant,aoc.gov,aoc.gov,Architect of the Capitol,Architect of the Capitol,2024-02-10T00:46:11.133Z
Not IPv6 compliant,www.capital.gov,capital.gov,Architect of the Capitol,Architect of the Capitol,2024-02-10T02:49:02.536Z
Not IPv6 compliant,capital.gov,capital.gov,Architect of the Capitol,Architect of the Capitol,2024-02-10T02:47:55.092Z
Not IPv6 compliant,capitol.gov,capitol.gov,Architect of the Capitol,Architect of the Capitol,2024-02-10T02:41:23.175Z
Not IPv6 compliant,www.capitol.gov,capitol.gov,Architect of the Capitol,Architect of the Capitol,2024-02-10T02:45:46.534Z
Not IPv6 compliant,usbg.gov,usbg.gov,Architect of the Capitol,Architect of the Capitol,2024-02-10T00:31:57.500Z
Not IPv6 compliant,accountcreation.cftc.gov,cftc.gov,Commodity Futures Trading Commission,Commodity Futures Trading Commission,2024-02-10T02:22:30.873Z
Not IPv6 compliant,cftc.gov,cftc.gov,Commodity Futures Trading Commission,Commodity Futures Trading Commission,2024-02-10T03:12:08.214Z
Not IPv6 compliant,sirt.cftc.gov,cftc.gov,Commodity Futures Trading Commission,Commodity Futures Trading Commission,2024-02-10T03:13:22.235Z
Not IPv6 compliant,remotesb.cftc.gov,cftc.gov,Commodity Futures Trading Commission,Commodity Futures Trading Commission,2024-02-10T04:12:09.102Z
Not IPv6 compliant,comments.cftc.gov,cftc.gov,Commodity Futures Trading Commission,Commodity Futures Trading Commission,2024-02-10T03:12:06.467Z
Not IPv6 compliant,cftcftp.cftc.gov,cftc.gov,Commodity Futures Trading Commission,Commodity Futures Trading Commission,2024-02-10T04:11:41.691Z
Not IPv6 compliant,smartcheck.gov,smartcheck.gov,Commodity Futures Trading Commission,Commodity Futures Trading Commission,2024-02-10T06:35:13.500Z
Not IPv6 compliant,whistleblower.gov,whistleblower.gov,Commodity Futures Trading Commission,Commodity Futures Trading Commission,2024-02-10T06:23:41.277Z
Not IPv6 compliant,bcfp.gov,bcfp.gov,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,2024-02-10T07:51:31.485Z
