target_url,target_url_domain,target_url_agency_owner,target_url_bureau_owner,Analysis
101arw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
102iw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required
103aw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required
104fw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required
105aw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required
106rqw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required
107attackwing.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
108thwing.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
109aw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required
10af.afrc.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
10thaamdc.army.mil,army.mil,Department of Defense,Army,www. required
10thmarines.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required or site not present at targeted address
110wg.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
111attackwing.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
113wg.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
114fw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required
115fw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
116acw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
117arw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
118wg.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
119wg.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
11thmeu.marines.mil,marines.mil,Department of Defense,Marine Corps,www. required
120thairliftwing.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
121arw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
122fw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
123aw.ang.af.mil,af.mil,Department of Defense,Air Force,www. required or site not present at targeted address
124thfighterwing.ang.af.mil,af.mil,Department of Defense,Air Force,www. required
