final_url,final_url_domain,final_url_website,target_url_agency_owner,target_url_bureau_owner,dap_detected_final_url
https://1.usa.gov/,usa.gov,1.usa.gov,General Services Administration,"GSA, TTS",TRUE
https://10millionpatents.uspto.gov/,uspto.gov,10millionpatents.uspto.gov,Department of Commerce,USPTO,FALSE
https://10x.gsa.gov/,gsa.gov,10x.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",TRUE
https://11bm.xray.aps.anl.gov/,anl.gov,11bm.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory,FALSE
https://12bm.xray.aps.anl.gov/,anl.gov,12bm.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory,FALSE
https://12id.xray.aps.anl.gov/,anl.gov,12id.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory,FALSE
https://18f.gsa.gov/,gsa.gov,18f.gsa.gov,General Services Administration,"GSA, TTS",TRUE
https://1950census.archives.gov/,archives.gov,1950census.archives.gov,National Archives and Records Administration,National Archives and Records Administration,TRUE
https://19january2017snapshot.epa.gov/,epa.gov,19january2017snapshot.epa.gov,Environmental Protection Agency,Environmental Protection Agency,TRUE
https://19january2021snapshot.epa.gov/,epa.gov,19january2021snapshot.epa.gov,Environmental Protection Agency,Environmental Protection Agency,TRUE
https://2001-2009.commerce.gov/,commerce.gov,2001-2009.commerce.gov,Department of Commerce,Depatment of Commerce,FALSE
https://2010-2014.commerce.gov/,commerce.gov,2010-2014.commerce.gov,Department of Commerce,Depatment of Commerce,TRUE
https://2014-2017.commerce.gov/,commerce.gov,2014-2017.commerce.gov,Department of Commerce,Depatment of Commerce,FALSE
https://2014-2018.firstnet.gov/,firstnet.gov,2014-2018.firstnet.gov,Department of Commerce,National Telecommunications and Information Administration,TRUE
https://2016.bbg.gov/,bbg.gov,2016.bbg.gov,United States Agency for Global Media,IBB/VOA/BBG,FALSE
https://2017-2021.commerce.gov/,commerce.gov,2017-2021.commerce.gov,Department of Commerce,Depatment of Commerce,FALSE
https://2020census.gov/,2020census.gov,2020census.gov,Department of Commerce,U.S. Census Bureau,TRUE
https://21apr.ed.gov/login,ed.gov,21apr.ed.gov,Department of Education,Office of Chief Information Officer,FALSE
https://2idb.xray.aps.anl.gov/,anl.gov,2idb.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory,FALSE
https://340bpricing.hrsa.gov/login,hrsa.gov,340bpricing.hrsa.gov,Department of Health and Human Services,Health Resources and Services Administration,FALSE
https://340bpricingsubmissions.hrsa.gov/login,hrsa.gov,340bpricingsubmissions.hrsa.gov,Department of Health and Human Services,Health Resources and Services Administration,FALSE
https://340bregistration.hrsa.gov/login,hrsa.gov,340bregistration.hrsa.gov,Department of Health and Human Services,Health Resources and Services Administration,FALSE
https://3d.nih.gov/,nih.gov,3d.nih.gov,Department of Health and Human Services,National Institutes of Health,TRUE
https://3dmaggs.larc.nasa.gov/,nasa.gov,3dmaggs.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://405d.hhs.gov/,hhs.gov,405d.hhs.gov,Department of Health and Human Services,Office of the Secretary,FALSE
https://4innovation-impl.cms.gov/,cms.gov,4innovation-impl.cms.gov,Department of Health and Human Services,Centers for Medicare and Medicaid Services,TRUE
https://4innovation.cms.gov/,cms.gov,4innovation.cms.gov,Department of Health and Human Services,Centers for Medicare and Medicaid Services,TRUE
https://60plus.smokefree.gov/,smokefree.gov,60plus.smokefree.gov,Department of Health and Human Services,"National Cancer Institute, NIH",TRUE
