final_url,target_url_agency_owner,dap_detected_final_url
https://1.usa.gov/,General Services Administration,TRUE
https://10millionpatents.uspto.gov/,Department of Commerce,FALSE
https://10x.gsa.gov/,General Services Administration,TRUE
https://11bm.xray.aps.anl.gov/,Department of Energy,FALSE
https://12bm.xray.aps.anl.gov/,Department of Energy,FALSE
https://12id.xray.aps.anl.gov/,Department of Energy,FALSE
https://18f.gsa.gov/,General Services Administration,TRUE
https://1950census.archives.gov/,National Archives and Records Administration,TRUE
https://19january2017snapshot.epa.gov/,Environmental Protection Agency,TRUE
https://19january2021snapshot.epa.gov/,Environmental Protection Agency,TRUE
https://2001-2009.commerce.gov/,Department of Commerce,FALSE
https://2010-2014.commerce.gov/,Department of Commerce,TRUE
https://2014-2017.commerce.gov/,Department of Commerce,FALSE
https://2014-2018.firstnet.gov/,Department of Commerce,TRUE
https://2016.bbg.gov/,United States Agency for Global Media,FALSE
https://2017-2021.commerce.gov/,Department of Commerce,FALSE
https://2020census.gov/,Department of Commerce,TRUE
https://21apr.ed.gov/login,Department of Education,FALSE
https://2idb.xray.aps.anl.gov/,Department of Energy,FALSE
https://340bpricing.hrsa.gov/login,Department of Health and Human Services,FALSE
https://340bpricingsubmissions.hrsa.gov/login,Department of Health and Human Services,FALSE
https://340bregistration.hrsa.gov/login,Department of Health and Human Services,FALSE
https://3d.nih.gov/,Department of Health and Human Services,TRUE
https://3dmaggs.larc.nasa.gov/,National Aeronautics and Space Administration,TRUE
https://405d.hhs.gov/,Department of Health and Human Services,FALSE
https://4innovation-impl.cms.gov/,Department of Health and Human Services,TRUE
https://4innovation.cms.gov/,Department of Health and Human Services,TRUE
https://60plus.smokefree.gov/,Department of Health and Human Services,TRUE
https://7-seas.gsfc.nasa.gov/,National Aeronautics and Space Administration,TRUE
https://7bm.xray.aps.anl.gov/,Department of Energy,FALSE
https://7id.xray.aps.anl.gov/,Department of Energy,FALSE
https://7trestingstate.ctss.nih.gov/,Department of Health and Human Services,FALSE
https://889.smartpay.gsa.gov/#/,General Services Administration,TRUE
