final_url,final_url_domain,final_url_website,target_url_agency_owner,target_url_bureau_owner,scan_date,dap_detected_final_url
https://1.usa.gov/,usa.gov,1.usa.gov,General Services Administration,"GSA, TTS",2023-06-10T02:48:14.979Z,TRUE
https://10millionpatents.uspto.gov/,uspto.gov,10millionpatents.uspto.gov,Department of Commerce,USPTO,2023-06-10T03:10:03.798Z,FALSE
https://10x.gsa.gov/,gsa.gov,10x.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",2023-06-10T03:18:44.193Z,TRUE
https://11bm.xray.aps.anl.gov/,anl.gov,11bm.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory,2023-06-10T02:06:21.668Z,FALSE
https://12bm.xray.aps.anl.gov/,anl.gov,12bm.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory,2023-06-10T00:27:18.900Z,FALSE
https://12id.xray.aps.anl.gov/,anl.gov,12id.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory,2023-06-10T00:32:08.880Z,FALSE
https://18f.gsa.gov/,gsa.gov,18f.gsa.gov,General Services Administration,"GSA, TTS",2023-06-10T00:31:47.176Z,TRUE
https://1950census.archives.gov/,archives.gov,1950census.archives.gov,National Archives and Records Administration,National Archives and Records Administration,2023-06-10T03:33:42.138Z,TRUE
https://19january2017snapshot.epa.gov/,epa.gov,19january2017snapshot.epa.gov,Environmental Protection Agency,Environmental Protection Agency,2023-06-10T01:07:03.412Z,TRUE
https://19january2021snapshot.epa.gov/,epa.gov,19january2021snapshot.epa.gov,Environmental Protection Agency,Environmental Protection Agency,2023-06-10T03:35:40.410Z,TRUE
https://2001-2009.commerce.gov/,commerce.gov,2001-2009.commerce.gov,Department of Commerce,Depatment of Commerce,2023-06-10T00:56:00.926Z,FALSE
https://2010-2014.commerce.gov/,commerce.gov,2010-2014.commerce.gov,Department of Commerce,Depatment of Commerce,2023-06-10T00:52:57.700Z,TRUE
https://2014-2017.commerce.gov/,commerce.gov,2014-2017.commerce.gov,Department of Commerce,Depatment of Commerce,2023-06-10T00:54:46.706Z,FALSE
https://2014-2018.firstnet.gov/,firstnet.gov,2014-2018.firstnet.gov,Department of Commerce,National Telecommunications and Information Administration,2023-06-10T03:18:38.864Z,TRUE
https://2016.bbg.gov/,bbg.gov,2016.bbg.gov,United States Agency for Global Media,IBB/VOA/BBG,2023-06-10T00:42:24.175Z,FALSE
https://2017-2021.commerce.gov/,commerce.gov,2017-2021.commerce.gov,Department of Commerce,Depatment of Commerce,2023-06-10T03:34:30.021Z,FALSE
https://2020census.gov/,2020census.gov,2020census.gov,Department of Commerce,U.S. Census Bureau,2023-06-10T02:17:25.193Z,TRUE
https://21apr.ed.gov/login,ed.gov,21apr.ed.gov,Department of Education,Office of Chief Information Officer,2023-06-10T01:07:06.658Z,FALSE
https://2idb.xray.aps.anl.gov/,anl.gov,2idb.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory,2023-06-10T00:31:46.905Z,FALSE
https://340bpricing.hrsa.gov/login,hrsa.gov,340bpricing.hrsa.gov,Department of Health and Human Services,Health Resources and Services Administration,2023-06-10T01:28:00.477Z,FALSE
https://340bpricingsubmissions.hrsa.gov/login,hrsa.gov,340bpricingsubmissions.hrsa.gov,Department of Health and Human Services,Health Resources and Services Administration,2023-06-10T01:30:33.701Z,FALSE
https://340bregistration.hrsa.gov/login,hrsa.gov,340bregistration.hrsa.gov,Department of Health and Human Services,Health Resources and Services Administration,2023-06-10T01:29:27.486Z,FALSE
https://3d.nih.gov/,nih.gov,3d.nih.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T03:58:38.515Z,TRUE
https://3dmaggs.larc.nasa.gov/,nasa.gov,3dmaggs.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T03:27:07.098Z,TRUE
https://405d.hhs.gov/,hhs.gov,405d.hhs.gov,Department of Health and Human Services,Office of the Secretary,2023-06-10T03:37:44.264Z,FALSE
https://4innovation-impl.cms.gov/,cms.gov,4innovation-impl.cms.gov,Department of Health and Human Services,Centers for Medicare and Medicaid Services,2023-06-10T00:38:24.725Z,TRUE
https://4innovation.cms.gov/,cms.gov,4innovation.cms.gov,Department of Health and Human Services,Centers for Medicare and Medicaid Services,2023-06-10T03:34:26.035Z,TRUE
https://60plus.smokefree.gov/,smokefree.gov,60plus.smokefree.gov,Department of Health and Human Services,"National Cancer Institute, NIH",2023-06-10T02:55:40.323Z,TRUE
https://7-seas.gsfc.nasa.gov/,nasa.gov,7-seas.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T03:24:52.418Z,TRUE
https://7bm.xray.aps.anl.gov/,anl.gov,7bm.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory,2023-06-10T00:27:07.757Z,FALSE
https://7id.xray.aps.anl.gov/,anl.gov,7id.xray.aps.anl.gov,Department of Energy,Argonne National Laboratory,2023-06-10T00:27:14.465Z,FALSE
https://7trestingstate.ctss.nih.gov/,nih.gov,7trestingstate.ctss.nih.gov,Department of Health and Human Services,National Institutes of Health,2023-06-10T02:34:51.420Z,FALSE
https://889.smartpay.gsa.gov/#/,gsa.gov,889.smartpay.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",2023-06-10T00:31:28.895Z,TRUE
https://8astars.fas.gsa.gov/GWACPriceTool/priceFilter/create,gsa.gov,8astars.fas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",2023-06-10T00:34:57.380Z,TRUE
https://9-11commission.gov/,9-11commission.gov,9-11commission.gov,National Archives and Records Administration,National Archives and Records Administration,2023-06-10T00:27:40.796Z,FALSE
https://911commission.gov/,911commission.gov,911commission.gov,National Archives and Records Administration,National Archives and Records Administration,2023-06-10T00:38:51.706Z,FALSE
https://988lifeline.org/,988lifeline.org,988lifeline.org,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,2023-06-10T00:27:43.873Z,FALSE
https://a2e.energy.gov/home,energy.gov,a2e.energy.gov,Department of Energy,"US Department of Energy, Office of the CIO",2023-06-10T01:09:41.117Z,FALSE
https://aab.larc.nasa.gov/,nasa.gov,aab.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,2023-06-10T01:54:40.434Z,TRUE
