final_url,target_url_agency_owner,target_url_bureau_owner,dap_detected_final_url
https://1.usa.gov/,General Services Administration,"GSA, TTS",TRUE
https://10millionpatents.uspto.gov/,Department of Commerce,USPTO,FALSE
https://10x.gsa.gov/,General Services Administration,"GSA, IDI, ECAS II",TRUE
https://11bm.xray.aps.anl.gov/,Department of Energy,Argonne National Laboratory,FALSE
https://12bm.xray.aps.anl.gov/,Department of Energy,Argonne National Laboratory,FALSE
https://12id.xray.aps.anl.gov/,Department of Energy,Argonne National Laboratory,FALSE
https://18f.gsa.gov/,General Services Administration,"GSA, TTS",TRUE
https://1950census.archives.gov/,National Archives and Records Administration,National Archives and Records Administration,TRUE
https://19january2017snapshot.epa.gov/,Environmental Protection Agency,Environmental Protection Agency,TRUE
https://19january2021snapshot.epa.gov/,Environmental Protection Agency,Environmental Protection Agency,TRUE
https://2001-2009.commerce.gov/,Department of Commerce,Depatment of Commerce,FALSE
https://2010-2014.commerce.gov/,Department of Commerce,Depatment of Commerce,TRUE
https://2014-2017.commerce.gov/,Department of Commerce,Depatment of Commerce,FALSE
https://2014-2018.firstnet.gov/,Department of Commerce,National Telecommunications and Information Administration,TRUE
https://2016.bbg.gov/,United States Agency for Global Media,IBB/VOA/BBG,FALSE
https://2017-2021.commerce.gov/,Department of Commerce,Depatment of Commerce,FALSE
https://2020census.gov/,Department of Commerce,U.S. Census Bureau,TRUE
https://21apr.ed.gov/login,Department of Education,Office of Chief Information Officer,FALSE
https://2idb.xray.aps.anl.gov/,Department of Energy,Argonne National Laboratory,FALSE
https://340bpricing.hrsa.gov/login,Department of Health and Human Services,Health Resources and Services Administration,FALSE
https://340bpricingsubmissions.hrsa.gov/login,Department of Health and Human Services,Health Resources and Services Administration,FALSE
https://340bregistration.hrsa.gov/login,Department of Health and Human Services,Health Resources and Services Administration,FALSE
https://3d.nih.gov/,Department of Health and Human Services,National Institutes of Health,TRUE
https://3dmaggs.larc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://405d.hhs.gov/,Department of Health and Human Services,Office of the Secretary,FALSE
https://4innovation-impl.cms.gov/,Department of Health and Human Services,Centers for Medicare and Medicaid Services,TRUE
https://4innovation.cms.gov/,Department of Health and Human Services,Centers for Medicare and Medicaid Services,TRUE
https://60plus.smokefree.gov/,Department of Health and Human Services,"National Cancer Institute, NIH",TRUE
https://7-seas.gsfc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://7bm.xray.aps.anl.gov/,Department of Energy,Argonne National Laboratory,FALSE
https://7id.xray.aps.anl.gov/,Department of Energy,Argonne National Laboratory,FALSE
https://7trestingstate.ctss.nih.gov/,Department of Health and Human Services,National Institutes of Health,FALSE
https://889.smartpay.gsa.gov/#/,General Services Administration,"GSA, IDI, ECAS II",TRUE
https://8astars.fas.gsa.gov/GWACPriceTool/priceFilter/create,General Services Administration,"GSA, IDI, ECAS II",TRUE
https://9-11commission.gov/,National Archives and Records Administration,National Archives and Records Administration,FALSE
https://911commission.gov/,National Archives and Records Administration,National Archives and Records Administration,FALSE
https://988lifeline.org/,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,FALSE
https://a2e.energy.gov/home,Department of Energy,"US Department of Energy, Office of the CIO",FALSE
https://aab.larc.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://aad.archives.gov/aad/index.jsp,National Archives and Records Administration,National Archives and Records Administration,TRUE
https://aaplan-api.usaid.gov/,U.S. Agency for International Development,M/CIO,FALSE
https://aaplan-api2.usaid.gov/,U.S. Agency for International Development,M/CIO,FALSE
https://aaplan.usaid.gov/,U.S. Agency for International Development,M/CIO,FALSE
https://aaplandev-api-training.usaid.gov/,U.S. Agency for International Development,M/CIO,FALSE
https://aaplandev-api2-integration.usaid.gov/,U.S. Agency for International Development,M/CIO,FALSE
https://aaplandev-api2-training.usaid.gov/,U.S. Agency for International Development,M/CIO,FALSE
https://aaplandev-integration.usaid.gov/,U.S. Agency for International Development,M/CIO,FALSE
https://aaplandev-training.usaid.gov/,U.S. Agency for International Development,M/CIO,FALSE
https://aaplandevazure.usaid.gov/,U.S. Agency for International Development,M/CIO,FALSE
https://aas.gsa.gov/,General Services Administration,"GSA, IDI, ECAS II",TRUE
https://aasis.omha.hhs.gov/,Department of Health and Human Services,Office of the Secretary,TRUE
https://abandonedmines.gov/,Department of the Interior,Bureau of Land Management,FALSE
https://abarrshvuat.ofac.treas.gov/,Department of the Treasury,Department of the Treasury - DO,FALSE
https://abc.lbl.gov/,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://abclab.jpl.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://abilityone.gov/,United States AbilityOne,Committee for Purchase From People Who Are Blind or Severely Disabled,FALSE
https://abmc.gov/,American Battle Monuments Commission,American Battle Monuments Commission,TRUE
https://about.lanl.gov/lanl-resources/,Department of Energy,Los Alamos National Laboratory,FALSE
https://about.usps.com/who/profile/history/postmaster-finder/,United States Postal Service,U.S. Postal Service,TRUE
https://aboutusa.japan.usembassy.gov/,Department of State,Bureau of Global Public Affairs (GPA),FALSE
https://above.nasa.gov/,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE
https://abp.cr.usgs.gov/,Department of the Interior,U.S. Geological Survey,TRUE
https://abpdu.lbl.gov/,Department of Energy,Lawrence Berkeley National Laboratory,FALSE
https://ac-1.dot.gov/+CSCOE+/logon.html?fcadbadd=1,Department of Transportation,United States Department of Transportation,FALSE
https://ac-2.dot.gov/+CSCOE+/logon.html?fcadbadd=1#form_title_text,Department of Transportation,United States Department of Transportation,FALSE
https://ac.dot.gov/+CSCOE+/logon.html?fcadbadd=1,Department of Transportation,United States Department of Transportation,FALSE
https://accelerate.hhs.gov/authentication/login?returnUrl=%2F,Department of Health and Human Services,Office of the Secretary,FALSE
